,year,month,USDTHDH,USDTHDL,export,price
0,2554,1,31.215,29.995,16565,"8,543.00"
1,2554,2,30.965,30.515,15731,"8,903.00"
2,2554,3,30.625,30.185,21564,"8,384.00"
3,2554,4,30.335,29.815,16140,"8,026.00"
4,2554,5,30.5,29.82,22433,"7,982.00"
5,2554,6,31.045,30.225,19644,"8,591.00"
6,2554,7,30.855,29.645,18260,"8,993.00"
7,2554,8,30.08,29.65,18785,"9,523.00"
8,2554,9,31.285,29.875,14671,"9,949.00"
9,2554,10,31.39,30.47,15058,"10,217.42"
10,2554,11,31.455,30.605,16051,"10,305.00"
11,2554,12,31.825,30.725,13351,"10,322.00"
12,2555,1,31.955,30.815,10851,"9,641.00"
13,2555,2,31.125,30.185,13794,"9,645.00"
14,2555,3,30.94,30.41,10684,"9,921.00"
15,2555,4,31.085,30.675,11471,"10,000.00"
16,2555,5,31.975,30.695,16819,"10,242.00"
17,2555,6,31.975,31.365,10767,"10,467.00"
18,2555,7,31.87,31.39,14021,"10,326.00"
19,2555,8,31.69,31.15,12730,"9,914.00"
20,2555,9,31.33,30.72,10391,"10,584.00"
21,2555,10,30.89,30.49,19468,"10,123.00"
22,2555,11,30.855,30.595,15671,"10,160.00"
23,2555,12,30.74,30.52,11766,"10,221.00"
24,2556,1,30.61,29.64,13816,"10,526.00"
25,2556,2,29.965,29.675,10558,"10,559.00"
26,2556,3,29.85,29.05,12552,"10,158.00"
27,2556,4,29.485,28.555,10316,"9,753.00"
28,2556,5,30.46,29.23,12044,"9,799.00"
29,2556,6,31.25,30.31,10312,"9,897.00"
30,2556,7,31.505,30.815,14720,"9,578.00"
31,2556,8,32.29,31.15,12483,"9,329.00"
32,2556,9,32.51,30.88,11229,"8,480.00"
33,2556,10,31.565,30.965,15242,"8,280.00"
34,2556,11,32.255,31.125,12100,"8,126.00"
35,2556,12,32.95,31.92,14361,"8,134.00"
36,2557,1,33.145,32.635,13705,"7,914.00"
37,2557,2,33.005,32.175,13468,"7,827.00"
38,2557,3,32.655,32.085,14374,"7,482.00"
39,2557,4,32.575,32.115,12890,"6,982.00"
40,2557,5,32.87,32.31,15167,"7,034.00"
41,2557,6,32.925,32.335,14715,"7,337.00"
42,2557,7,32.47,31.73,16023,"7,870.00"
43,2557,8,32.36,31.78,16252,"8,339.00"
44,2557,9,32.45,31.89,16304,"8,055.00"
45,2557,10,32.72,32.21,20500,"7,980.00"
46,2557,11,32.93,32.55,13866,"7,878.00"
47,2557,12,33.11,32.74,23960,"7,862.00"
48,2558,1,33.1,32.47,12262,"7,895.00"
49,2558,2,32.77,32.27,13111,"7,873.00"
50,2558,3,33.04,32.29,14339,"7,723.00"
51,2558,4,33.08,32.27,12710,"7,607.00"
52,2558,5,33.92,32.99,15440,"7,674.00"
53,2558,6,33.99,33.54,12199,"7,624.00"
54,2558,7,35.28,33.71,12993,"8,029.00"
55,2558,8,35.92,34.97,12501,"8,121.00"
56,2558,9,36.51,35.47,13311,"7,614.00"
57,2558,10,36.67,35.12,19019,"7,676.00"
58,2558,11,36.08,35.41,14175,"7,698.00"
59,2558,12,36.22,35.71,20718,"7,543.00"
60,2559,1,36.42,35.64,16942,"7,663.00"
61,2559,2,35.915,35.215,14696,"7,900.00"
62,2559,3,35.67,34.71,16720,"7,773.00"
63,2559,4,35.4,34.81,12159,"7,727.00"
64,2559,5,35.81,34.82,13106,"8,074.00"
65,2559,6,35.8,35.07,13077,"8,452.00"
66,2559,7,35.31,34.75,9307,"8,670.00"
67,2559,8,35.12,34.5,12038,"8,735.00"
68,2559,9,35.0,34.54,13762,"7,999.00"
69,2559,10,35.9,34.55,14331,"7,486.67"
70,2559,11,35.77,34.85,17439,"7,057.03"
71,2559,12,36.09,35.52,18977,"7,272.19"
72,2560,1,36.01,35.07,13690,"7,517.23"
73,2560,2,35.18,34.81,15199,"7,357.64"
74,2560,3,35.45,34.29,15800,"7,477.59"
75,2560,4,34.7,34.2,14485,"7,551.11"
76,2560,5,34.83,34.01,13320,"7,663.82"
77,2560,6,34.24,33.81,16596,"8,195.36"
78,2560,7,34.17,33.25,16632,"8,084.36"
79,2560,8,33.39,33.12,16473,"7,776.26"
80,2560,9,33.53,33.02,14479,"7,631.97"
81,2560,10,33.55,33.02,13456,"7,357.57"
82,2560,11,33.25,32.49,24144,"8,028.14"
83,2560,12,32.91,32.44,18485,"8,223.03"
84,2561,1,32.59,31.28,16964,"7,804.00"
85,2561,2,31.93,31.17,16350,"7,609.42"
86,2561,3,31.6,31.08,15391,"7,635.47"
87,2561,4,31.665,31.105,15467,"7,837.59"
88,2561,5,32.29,31.53,14496,"8,017.94"
89,2561,6,33.24,31.85,16339,"7,978.68"
90,2561,7,33.53,32.98,15357,"7,540.56"
91,2561,8,33.445,32.495,17745,"7,492.59"
92,2561,9,32.91,32.29,16899,"7,553.14"
93,2561,10,33.34,32.2,16796,"7,641.32"
94,2561,11,33.19,32.77,18969,"8,004.43"
95,2561,12,32.97,32.28,18619,"8,042.39"
